OrtoID	Score	OrtoA	OrtoB
339	534	META1_1968 1.000 	CQW49_RS19240 1.000 
340	533	META1_3419 1.000 	CQW49_RS04845 1.000 
341	533	META1_1429 1.000 	CQW49_RS19200 1.000 
342	533	META1_4874 1.000 	CQW49_RS14345 1.000 
343	532	META1_1318 1.000 	CQW49_RS04060 1.000 
344	532	META1_3026 1.000 	CQW49_RS01630 1.000 
345	532	META1_1523 1.000 	CQW49_RS15795 1.000 
346	531	META1_1941 1.000 	CQW49_RS20830 1.000 
347	530	META1_3129 1.000 	CQW49_RS02135 1.000 
348	530	META1_2042 1.000 	CQW49_RS15645 1.000 
349	529	META1_0336 1.000 	CQW49_RS06760 1.000 
350	529	META1_0788 1.000 	CQW49_RS09915 1.000 
351	529	META1_2491 1.000 	CQW49_RS18985 1.000 
352	528	META1_1861 1.000 META1_4949 0.541 	CQW49_RS18460 1.000 
353	528	META1_3528 1.000 	CQW49_RS02150 1.000 
354	528	META1_1541 1.000 	CQW49_RS16430 1.000 
355	527	META1_1623 1.000 	CQW49_RS05735 1.000 
356	527	META1_3511 1.000 	CQW49_RS10310 1.000 
357	526	META1_1817 1.000 	CQW49_RS11765 1.000 
358	526	META1_1733 1.000 	CQW49_RS12270 1.000 
359	526	META1_4247 1.000 	CQW49_RS00610 1.000 
360	526	META1_3311 1.000 	CQW49_RS21020 1.000 
361	525	META1_0683 1.000 	CQW49_RS16565 1.000 
362	525	META1_4647 1.000 	CQW49_RS00185 1.000 
363	525	META1_0793 1.000 	CQW49_RS18920 1.000 
364	522	META1_2956 1.000 	CQW49_RS13115 1.000 
365	522	META1_3288 1.000 	CQW49_RS20530 1.000 
366	520	META1_5131 1.000 	CQW49_RS04730 1.000 
367	519	META1_2418 1.000 	CQW49_RS20890 1.000 
368	519	META1_3198 1.000 	CQW49_RS18150 1.000 
369	519	META1_4129 1.000 	CQW49_RS23515 1.000 
370	518	META1_2390 1.000 	CQW49_RS17505 1.000 
371	517	META1_1262 1.000 	CQW49_RS17495 1.000 
372	517	META1_2057 1.000 	CQW49_RS15700 1.000 
373	516	META1_2704 1.000 	CQW49_RS02805 1.000 
374	516	META1_3393 1.000 	CQW49_RS09150 1.000 
375	516	META1_5250 1.000 	CQW49_RS21175 1.000 
376	515	META1_0848 1.000 	CQW49_RS05320 1.000 
377	515	META1_3658 1.000 	CQW49_RS20200 1.000 
378	514	META1_1321 1.000 	CQW49_RS04080 1.000 
379	514	META1_0204 1.000 	CQW49_RS12750 1.000 
380	514	META1_1731 1.000 	CQW49_RS12260 1.000 
381	514	META1_4310 1.000 	CQW49_RS18485 1.000 
382	513	META1_2369 1.000 	CQW49_RS11910 1.000 
383	513	META1_4239 1.000 	CQW49_RS11525 1.000 
384	510	META1_0002 1.000 	CQW49_RS19600 1.000 
385	509	META1_4544 1.000 	CQW49_RS09145 1.000 
386	507	META1_1757 1.000 	CQW49_RS03840 1.000 
387	507	META1_0485 1.000 	CQW49_RS10870 1.000 
388	507	META1_3190 1.000 	CQW49_RS02170 1.000 
389	506	META1_1539 1.000 	CQW49_RS16420 1.000 
390	505	META1_2330 1.000 	CQW49_RS09070 1.000 
391	505	META1_1488 1.000 	CQW49_RS21955 1.000 
392	502	META1_0184 1.000 	CQW49_RS04345 1.000 
393	502	META1_5085 1.000 	CQW49_RS11245 1.000 
394	501	META1_2215 1.000 	CQW49_RS16445 1.000 
395	500	META1_2045 1.000 	CQW49_RS01380 1.000 
396	496	META1_0694 1.000 	CQW49_RS04365 1.000 
397	496	META1_4852 1.000 	CQW49_RS12745 1.000 
398	495	META1_0419 1.000 META1_4597 0.069 	CQW49_RS16715 1.000 
399	495	META1_4418 1.000 	CQW49_RS12220 1.000 
400	494	META1_2244 1.000 	CQW49_RS02420 1.000 
401	494	META1_3818 1.000 	CQW49_RS20810 1.000 
402	493	META1_2843 1.000 	CQW49_RS12195 1.000 
403	493	META1_3153 1.000 	CQW49_RS11295 1.000 
404	493	META1_1537 1.000 	CQW49_RS19015 1.000 
405	493	META1_3187 1.000 	CQW49_RS12110 1.000 
406	491	META1_0319 1.000 	CQW49_RS18860 1.000 
407	491	META1_0222 1.000 	CQW49_RS19485 1.000 
408	489	META1_4244 1.000 	CQW49_RS04985 1.000 
409	488	META1_3527 1.000 	CQW49_RS10355 1.000 
410	485	META1_0042 1.000 	CQW49_RS00390 1.000 
411	485	META1_3180 1.000 	CQW49_RS06070 1.000 
412	485	META1_4307 1.000 	CQW49_RS21310 1.000 
413	482	META1_3000 1.000 	CQW49_RS01710 1.000 
414	482	META1_5216 1.000 	CQW49_RS00705 1.000 
415	482	META1_3330 1.000 	CQW49_RS23510 1.000 
416	481	META1_0488 1.000 	CQW49_RS05590 1.000 
417	478	META1_2326 1.000 	CQW49_RS20265 1.000 
418	477	META1_1682 1.000 	CQW49_RS02410 1.000 
419	477	META1_2302 1.000 	CQW49_RS14285 1.000 
420	477	META1_2447 1.000 	CQW49_RS17415 1.000 
421	476	META1_3856 1.000 	CQW49_RS10890 1.000 
422	476	META1_4888 1.000 	CQW49_RS15465 1.000 
423	475	META1_2156 1.000 	CQW49_RS10505 1.000 
424	475	META1_5087 1.000 	CQW49_RS11235 1.000 
425	475	META1_5024 1.000 	CQW49_RS22530 1.000 
426	474	META1_0729 1.000 	CQW49_RS00990 1.000 
427	474	META1_1709 1.000 	CQW49_RS12320 1.000 
428	474	META1_4153 1.000 	CQW49_RS03920 1.000 
429	474	META1_3146 1.000 	CQW49_RS11255 1.000 
430	473	META1_0412 1.000 	CQW49_RS19235 1.000 
431	473	META1_1404 1.000 	CQW49_RS23725 1.000 
432	472	META1_2986 1.000 	CQW49_RS01955 1.000 
433	472	META1_3120 1.000 	CQW49_RS02845 1.000 
434	471	META1_3071 1.000 	CQW49_RS02225 1.000 
435	470	META1_3705 1.000 	CQW49_RS10085 1.000 
436	469	META1_1714 1.000 	CQW49_RS06355 1.000 
437	468	META1_0499 1.000 	CQW49_RS06970 1.000 
438	467	META1_2707 1.000 	CQW49_RS02790 1.000 
439	467	META1_4486 1.000 	CQW49_RS06920 1.000 
440	466	META1_3621 1.000 	CQW49_RS09435 1.000 
441	466	META2_0850 1.000 	CQW49_RS06715 1.000 
442	465	META1_0685 1.000 	CQW49_RS22125 1.000 
443	464	META1_0030 1.000 	CQW49_RS00415 1.000 
444	464	META1_2228 1.000 	CQW49_RS00355 1.000 
445	463	META1_2028 1.000 	CQW49_RS06710 1.000 
446	463	META1_4249 1.000 	CQW49_RS06935 1.000 
447	463	META1_5183 1.000 	CQW49_RS04285 1.000 
448	462	META1_2036 1.000 	CQW49_RS03740 1.000 
449	462	META1_2540 1.000 	CQW49_RS04715 1.000 
450	462	META1_3682 1.000 	CQW49_RS05085 1.000 
451	462	META1_1351 1.000 	CQW49_RS20955 1.000 
452	462	META1_4534 1.000 	CQW49_RS14485 1.000 
453	460	META1_0805 1.000 	CQW49_RS09645 1.000 
454	459	META1_5290 1.000 	CQW49_RS15505 1.000 
